Geo Point,Geo Shape,road_segment,location,latitude,asset_id,history,owner_type,description,object_type,art_date,inscription,longitude,company,service_manager,makers,property,classification,title
"-37.8294820320636, 144.9738584859447","{""coordinates"": [144.9738584859447, -37.8294820320636], ""type"": ""Point""}",,"Shrine of Remembrance Reserve approximately 93m NW of The Gardens Shop, Gardens Shop, 100 Birdwood Avenue, Melbourne, 3004",144.9738584859447,1086581,,Owned,"A bronze figure of Simpson and his donkey with a wounded man on the donkey''''s back on a granite pedestal.<br><br>Private John Simpson Kirkpatrick's intrepid and short-lived exploits during the Gallipoli campaign have made him a popular figure of World War One. He has been mythologised to represent the lauded values of the digger, and he symbolises all those who went into battle unarmed. Born in England in 1892, he came to Australia in 1910. He enlisted to make his way back to England, but as a member of the 3rd Field Ambulance AIA was sent to Gallipoli. After just three weeks of bearing wounded soldiers across Shrapnel Gully on the back of his donkey, Simpson was killed by shrapnel fire. <br><br>Simpson's story became a powerful propaganda tool for enlistment in Australia, but following the war he was quickly forgotten. With the Shrine of Remembrance nearing completion in 1933, the memory of Simpson was rekindled to commemorate all who gave their lives to help others during the war. One plaque reads: `The / Man with his donkey / Gallipoli ' / In commemoration / of the valour and compassion / of the Australian soldier'.<br><br>In 1935, Wallace Anderson's design for the memorial was selected though a competition organised by the Australian Red Cross. Anderson had served during the war and worked at the Australian War Memorial after his return. His Man with the Donkey was cast in Italy, and after some debate was sited near the shrine.<br><br>Unveiled 20th June, 1936",Statue,1935,"West Side of Base: ""The / Man with his Donkey / Gallipoli, April 25 to May 19 / in Commemoration / of the valour and compassion / of the Australian Soldier"" AFTER LANDING AT GALLIPOLI, SIMPSON, WITH HIS LITTLE DONKEY, WORKED ALONE, DAY AND NIGHT TAKING WATER TO THE FRONT LINE AND CARRYING THE WOUNDED BACK TO THE DRESSING STATIONS. HE AND HIS DONKEY WERE KILLED BY A SHRAPNEL SHELL ON THE 19TH MAY, 1915. SIMPSON WAS MENTIONED IN DISPATCHES BY SIR IAN HAMILTON, COMMANDER-IN-CHIEF OF THE MEDITERRANEAN EXPEDITIONARY FORCE. / Erected by Public Subscription under auspices of the / Red Cross Society. <br>East Side of Base: Private John Simpson.",-37.8294820320636,City of Melbourne,Arts & Culture Branch,"Anderson, William Wallace",Shrine of Remembrance Reserve,Sculpture,Man with the Donkey (aka Private John Simpson and his Little Donkey)
"-37.814157002700625, 144.96673361826416","{""coordinates"": [144.96673361826416, -37.814157002700625], ""type"": ""Point""}",,"Council House 2 approximately 10m NW of Swensk, Shop 1, 230 Little Collins Street, Melbourne, 3000",144.96673361826416,1092456,Commissioned by CoM as part of CH2 artworks,Owned,"Sliced rock flitches and plant climbing frames, creating rooftop landscape",Sculpture,2006,,-37.814157002700625,City of Melbourne,Arts & Culture Branch,David Wong,Council House 2,Sculpture,CH2 Rooftop Landscape
"-37.81069512351951, 144.953685866683","{""coordinates"": [144.953685866683, -37.81069512351951], ""type"": ""Point""}",,"Flagstaff Gardens approximately 82m NE of Haileybury City, Basement , Ground & Level 1-9, 383 King Street, West Melbourne, 3003",144.953685866683,1088154,,Owned,"Mixed stone sculpture including Castlemaine slate, sandstone granite and marble in layered brick-like structure.<br><br>Flagstaff Gardens is a heritage site of much significance to Melbourne. It is the oldest public gardens, the settlement's first burial site and the place at which the flag would be raised to signal an incoming ship. Flagstaff Gardens was also the site from which news of Victoria's separation from NSW was signalled to Melbourne residents through the lighting of a great bonfire. This sculpture was created to mark the centenary of the proclamation of separation.<br>",Memorial,1950,"THIS TABLET / WAS ERECTED TO COMMEMORATE / THE ONE HUNDREDTH ANNIVERSARY / OF THE PROCLAMATION OF / VICTORIAN GOVERNMENT / ON THIS SITE ON 11TH NOVEMBER 1850 / AND WAS UNVEILED ON 11TH NOVEMBER 1950 / BY HIS EXCELLENCY / THE GOVERNOR OF VICTORIA / GENERAL SIR DALLAS BROOKS / KCB, KMG, DSO, RM. / JAMES S. DISNEY JP (LORD MAYOR) / H.S. WOOTTON CMG (TOWN CLERK)",-37.81069512351951,City of Melbourne,Arts & Culture Branch,unknown,Flagstaff Gardens,Sculpture,Separation Memorial
"-37.82105938009447, 144.969757416659","{""coordinates"": [144.969757416659, -37.82105938009447], ""type"": ""Point""}",,Queen Victoria Gardens,144.969757416659,1086518,,Owned,"This marble bust is a replica of the Apollo Belvedere found in Rome's Vatican Museum. Known as the Greek god of the sun, Apollo would harness four horses to his chariot each day to drive the sun across the sky. In art, the youthful Apollo is traditionally seen as the epitome of beauty, but this god also has associations with music, prophecy and medicine. <br><br>Belvedere Apollo was donated to the city by well-known solicitor, politician, newspaper proprietor and educationist Theodore Fink. He acquired the bust and a replica of the Farnex Hercules for the people of Victoria when he was visiting Rome. The works were sited at the main entrance to Queen Victoria Gardens when they were unveiled in 1928; their location was slightly altered when Alexandra Avenue was lowered to pass beneath St Kilda Road. Fink's donation marked the end of a tradition of placing copies of classical statuary in Melbourne's public gardens, a practice that took hold in the 1860s and lasted into the early decades of the 20th century.  <br><br>The two busts were unveiled on the 2 October 1928 at the main entry to the Queen Victoria Gardens.  Fink hoped the busts would ''''''''not only beautify our parks but elevate the taste of people and help them to appreciate fine things, stimulate the national love of beauty, that will express itself in the work of Australian sculptors and artists. ''''''''This donation marked the end of a tradition of placing copies of classical statuary in Melbourne''''''''s public gardens.  Since the 1860s the Fitzroy, Flagstaff and Carlton Gardens had been profusely ornamented with casts of sculptures from the National Gallery and elsewhere.  But by Fink''''''''s time these had gone out of fashion and were allowed to deteriorate.  Most were removed by the 1930s. The position of the busts was slightly altered when Alexandra Avenue was lowered to pass below St Kilda Road.<br>",Sculpture,,,-37.82105938009447,City of Melbourne,Arts & Culture Branch,Unknown,Queen Victoria Gardens,Sculpture,Apollo Belvedere
"-37.821240390015305, 144.97076945357304","{""coordinates"": [144.97076945357304, -37.821240390015305], ""type"": ""Point""}",,Queen Victoria Gardens,144.97076945357304,1091170,,Owned,"Ornately carved granite drinking fountain. Ottoman style motifs. Drinking taps not original. <br><br>Little is known about the origins of this domed drinking fountain. It bears Ottoman-style motifs and no longer carries its original taps. Early photographs show that a very similar fountain was once positioned on Collins Street, but there is no other evidence to confirm it is the same fountain. It was suggested that this fountain be relocated to Queen Victoria Gardens, where it would serve as a memorial to Cookie, a resident and much-loved black swan. But a new memorial fountain to Cookie was erected in Alexandra Gardens in 1974.<br>",Drinking Fountain,c1936,,-37.821240390015305,City of Melbourne,Parks Services Branch,Unknown,Queen Victoria Gardens,Memorials,Domed Drinking Fountain
"-37.819570574442366, 144.97182443644516","{""coordinates"": [144.97182443644516, -37.819570574442366], ""type"": ""Point""}",,Alexandra Park,144.97182443644516,1086579,,Owned,"Also known as Cookie Memorial Drinking Fountain. This cube-shaped, bluestone drinking fountain produced in diagonally cut stone features a bronze plaque with a raised image of Cookie (a black swan) and dedicatory inscription.<br><br>Raymond Ewers was born in Wyalong, NSW, and studied sculpture at RMIT, Melbourne. In 1974 he produced this fountain in memory of a black swan named Cookie, which frequented the Alexandra Gardens for many years and was well known to the public and accidentally killed on 16th May, 1972.<br>",Memorial Drinking Fountain,1974,"Plaque: In memory of Cookie / the black swan, / who lived in these gardens / from 1967-1973",-37.819570574442366,City of Melbourne,Parks Services Branch,"EWERS, Raymond B.",Alexandra Park,Memorials,Black Swan Memorial Drinking Fountain
"-37.81002307787697, 144.97364211216924","{""coordinates"": [144.97364211216924, -37.81002307787697], ""type"": ""Point""}",,Parliament Reserve,144.97364211216924,1282595,,Owned,"Bronze memorial statue of Pastor Sir Doug Nicholls and Lady Gladys Nicholls<br><br>Sculptor Louis Laumen's intention with these life-size bronze figures was to create a literal representation of his subjects' place in public life, acknowledging them as great catalysts for social change. Sir Doug steps forward in conversation and Lady Gladys stands with him. In the bluestone paving below, Ngarra Murray's etching incorporates the totems Bigarrumdja the Emu and Waa the Crow with diamond-shaped markings. These traditional symbols mark her great-grandparents' connection to country. The position of the statue is significant, located between the two key locales of Sir Doug work, Fitzroy and state parliament.<br><br>Sir Doug Nicholls was the pastor of Australia's first Aboriginal Church of Christ, in Fitzroy, Melbourne, and in 1957 became a field officer for the Aboriginal Advancement League. His commitment to Indigenous welfare made him a natural representative for Aboriginal people, and he was awarded a MBE for his efforts in 1957. He worked as a lay preacher at the Gore Street Mission Centre from 1935, but he really began working with disadvantaged Aboriginal people in the early 1940s through the Aboriginal Advancement League. In 1968, he was awarded an OBE for his work and became a member of the new Victorian Ministry of Aboriginal Affairs. In 1972, he was the first Aboriginal person to be knighted, and four years later he became the governor of South Australia.<br><br>Like her husband, Gladys Nicholls was born at Cummeragunga Aboriginal station in NSW. After the death of her first husband, Howard Nicholls, in 1942, Gladys married his brother Doug. She was committed to working towards the welfare of the underprivileged, as well as for the rights of women. Gladys was a charity worker and fundraiser, and among other achievements became secretary of the National Aboriginal and Torres Strait Islander Women's Council and the Victorian state president in the 1970s. <br><br>Together the Nicholls were prominent campaigners for Indigenous rights and justice, and this memorial statue, first proposed by the Department of Justice and keenly supported by the Nicholls' family, recognises this. It is the first memorial sculpture in Melbourne dedicated to Aboriginal leaders, and its presence strengthens the visibility of Indigenous people and cultural diversity in Melbourne.<br>",Sculpture,c2007,,-37.81002307787697,City of Melbourne,Arts & Culture Branch,"Laumen, Louis; Murray, Ngarra",Parliament Reserve,Sculpture,Pastor Sir Doug Nicholls and Lady Gladys Nicholls
"-37.811543500644426, 144.9829508862324","{""coordinates"": [144.9829508862324, -37.811543500644426], ""type"": ""Point""}",,"Fitzroy Gardens approximately 54m NW of Grandpa Giuseppe, Ground, 158 Clarendon Street, East Melbourne, 3002",144.9829508862324,1086753,,Owned,"Known simply as the Grey Street Fountain, this is one of the oldest fountains in Melbourne's public gardens. Manufactured by Garnkirk, the fountain is of a simple design comprising three tazza bowls of diminishing sizes, with each bowl raised on a socle and pedestal. The rim of each bowl is decorated with an egg-and-dart moulding. The fountain is set on a volcanic rock outcrop within a pool. It is a well preserved example of an imported English design, indicative of the taste in garden ornamentation in the mid-late 19th Century.<br><br>Its construction commenced in 1863 under the direction of Clement Hodgkinson, the assistant commissioner of the Survey Office. The original concept incorporated a pool 30.5 metres long, with a central cluster of rocks from which water was to be ejected to nearly 15.25 metres, although this appears not to have been realised. The pond was filled with small islands of aquatic plantings and Sydney Couch Grass.<br><br>In 1968, Melbourne City Council wanted to replace the fountain with an elaborate sundial to commemorate the recently deceased prime minister, Harold Holt. When the council's intention became known, some 800 people petitioned against the fountain's removal. In the face of such opposition, plans for the sundial were scrapped and the Grey Street Fountain retained. The fountain is the only surviving ornament from that period in its original position in Fitzroy Gardens.<br>",Fountain,1863,GARNKIRK is impressed into various segments of the cast bowls. ANL is also impressed next to one of the manufacturer''''''''s marks.,-37.811543500644426,City of Melbourne,Parks Services Branch,Unknown<br>,Fitzroy Gardens,Memorials,Grey Street Fountain
"-37.82148770181237, 144.9711947232973","{""coordinates"": [144.9711947232973, -37.82148770181237], ""type"": ""Point""}",,Queen Victoria Gardens,144.9711947232973,1086741,,Owned,"Bronze figure on a bronze plinth that combines the features and characteristics of an Egyptian cat and a lion with a triangular face and pointed ears. The back section of the sculpture is flat to encourage play.<br><br>Tom Bass was born in Lithgow, NSW, in 1916. After a hiatus in his studies during World War Two, he graduated from the National Art School in 1948. Bass gained inspiration for his work from his extensive travels, which is apparent in The Genie. One of Australia's leading sculptors, Bass has created some of the country's most significant works, such as the entrance sculpture at Canberra's National Library, Trial of Socrates at the University of Melbourne's Wilson Hall and Ethos in Canberra's Civic Square.<br><br>In 1971, sculptor Peter Corlett presented the concept of a children's play sculpture to Melbourne City Council. The commission for this sculpture went to Bass. The Genie's design is a synthesis of Western and Eastern art forms, and combines the characteristics of an Egyptian cat with a lion. It was designed to complement its natural surroundings, while still being able to attract the attention of children. Its form and textured surface are intended to encourage play and to extend children's experience of art by inviting direct physical contact. In part, its inscription reads: `The Genie / A fantasy play sculpture / for children'.",Sculpture,1973,"""Tom Bass 1973"" & ""Bronze by F.J. & I. Lemon"" THE GENIE/A FANTASY PLAY SCULPTURE /FOR CHILDREN/ERECTED BY THE MELBOURNE CITY COUNCIL 1973/SCULPTOR: MR TOM BASS",-37.82148770181237,City of Melbourne,Arts & Culture Branch,"BASS, Tom",Queen Victoria Gardens,Sculpture,The Genie
"-37.81569486070456, 144.9462026449502","{""coordinates"": [144.9462026449502, -37.81569486070456], ""type"": ""Point""}",,Channel 7 Melbourne Broad Cast Centre,144.9462026449502,1559913,,Not Owned,"Art Wall was commissioned by the Seven Network for the rear of its building. The piece is about the relationship between television and image - the nature of television as a transmitter of electronic images, the perception of those images, and the intimacy of television as a medium. A series of small windows contain three distinct 3D installations -a diorama, a scale model of a television room with a tiny working television set, and a series of printed glass elements.",Sculpture,2000,,-37.81569486070456,VicUrban,,Peter D. Cole,Channel 7 Melbourne Broad Cast Centre,Sculpture,Art Wall
"-37.818843311029966, 144.94506762996465","{""coordinates"": [144.94506762996465, -37.818843311029966], ""type"": ""Point""}",Captains Walk,"National@Docklands approximately 64m North of National Australia Bank, 808 Bourke Street, Docklands, 3008",144.94506762996465,1559912,,Not Owned,"Melbourne artist John Mead's Aqualungis a sleek and abstract sculpture that is loosely based on the breathing apparatus of the human body. It has a peaceful, contemplative and timeless presence in the busy public thoroughfare in the North-South link of the NAB buildings. Appearing to emerge from underground, Aqualung quietly disrupts the breezeway and the clean, efficient architecture that surrounds it - and like much of Mead's work, has the ability to take one's breath away.",Sculpture,2006,,-37.818843311029966,VicUrban,,John Mead,National@Docklands,Sculpture,Aqualung
"-37.78930375418185, 144.97217890820102","{""coordinates"": [144.97217890820102, -37.78930375418185], ""type"": ""Point""}",,,144.97217890820102,1091149,,Owned,"Sir William Brunton was the Lord Mayor of Melbourne from 1923 to 1926. He was the powerhouse behind the Lord Mayor's Hospital Fund, a founder of the National War Memorial Committee and an advocate of parks and gardens for public recreation. <br>Following his service, Brunton offered this ornamental granite and bluestone drinking fountain to the Parks & Gardens Committee, which had it erected in Curtain Square, on Rathdowne Street, North Carlton.",Drinking Fountain,1938,,-37.78930375418185,City of Melbourne,Parks Services Branch,Unknown,,Memorials,Brunton Drinking Fountain East
"-37.80700265749862, 144.9645692680851","{""coordinates"": [144.9645692680851, -37.80700265749862], ""type"": ""Point""}",Franklin Street between Victoria Street and Swanston Street,"Franklin Street between Victoria Street and Swanston Street approximately 38m SW of Royal Melbourne Institute Of Technology, 80-92 Victoria Street, Carlton, 3053",144.9645692680851,1656982,,Owned,"Standing by Tunnerminnerwait and Maulboyheenner is a commemorative marker by artists Brook Andrew and Trent Walter, commissioned by the City of Melbourne in early 2016, and opened publicly on 11 September 2016.<br><br>Artist statement<br>Standing by Tunnerminnerwait and Maulboyheenner is a permanent marker that is experimental and empowering. It begs contemporary viewers to embrace innovative processes of how to remember their tragic story through historical artistic representations of the ready-made object. <br><br>The permanent marker comprises six brightly coloured newspaper stands, a static solid bluestone swing, indigenous food and medicine plantings and a reproduction suburban Victorian style fence.<br><br>The brightly coloured newspaper stands represent colours of both the Aboriginal and Australian flags: red, white, blue yellow and black. Australian and Aboriginal law have often clashed and this story is one that represents this clash, hence the colours of the flags coming together. Newspapers in each stand acknowledge diverse early colonial and Aboriginal histories of Melbourne and Tasmania, heritage stories and the specific story of Tunnerminnerwait and Maulboyheener.<br><br>The static solid bluestone swing and tomb-like structure with the names Tunnerminnerwait and Maulboyheenner engraved on the side invites visitors to the site to sit, contemplate and reflect. The children's swing seat becomes the tomb, laden with memory and history.<br><br>The pavement in bluestone and a woven wire gate reflect the nostalgic history of Melbourne. The bluestone path, a continuation from the Old Melbourne Gaol connects the two sites, signifying connection to a complex history involving crime and punishment in early Melbourne<br><br>The structure sits amongst indigenous medicine plants that are useful for regeneration and native to the landscape of Parperloihener clan (Cape Grim), Iarapuna (Bay of Fires), Woiworung and Boonwurrung of the Kulin Nation (Melbourne).<br><br>The viewer will learn not only about history and the significance of this story, but will also about the importance of Aboriginal medicines and land care, which relate directly to the care of the body and culture.<br><br>Standing by Tunnerminnerwait and Maulboyheenner creates an educational platform to ensure longevity of their story, and invites Melbourne locals and visitors to discover how this story informs our knowledge of Aboriginal history and contested histories of colonisation.",Sculpture,2016,"Front Inscription: Tunnerminnerwait Maulboyheenner<br>Left Side Inscription: Standing by Tunnerminnerwait and Maulboyheenner / 2016 / Brook Andrew and Trent Walter<br>Right Side Inscription: This artwork was inititiated by Tunnerminnerwait and / Maulboyheenner Commemoration Committee, which holds a / gathering here annually to honour the two men who were / executed by public hanging on this location at midday, 20 / January 1842. / Commissioned by the City of Melbourne",-37.80700265749862,City of Melbourne,,"Andrew, Brook; Walter, Trent",,Sculpture,Standing by Tunnerminnerwait and Maulboyheenner
"-37.817969059842106, 144.96906199923544","{""coordinates"": [144.96906199923544, -37.817969059842106], ""type"": ""Point""}",,"Federation Square approximately 42m North of Deakin Edge Theatre at Fed Square, Deakin Edge, Federation Square, 2 Swanston Street, Melbourne, 3000",144.96906199923544,1560995,,Not Owned,"Artist and writer Paul Carter collaborated with the architects of Federation Square on Nearamnew, a vast Square paving design with poetic text inscriptions. Fragmented voices of historical and fictional characters can be deciphered in nine locations around the site, relating the history of the site and poetic visions of the Federation ideal.",Artwork,2003,,-37.817969059842106,Federation Square,,Paul Carter,Federation Square,Unknown,Nearamnew
"-37.83028190715433, 144.9743398250947","{""coordinates"": [144.9743398250947, -37.83028190715433], ""type"": ""Point""}",,"Shrine of Remembrance Reserve approximately 42m SW of The Gardens Shop, Gardens Shop, 100 Birdwood Avenue, Melbourne, 3004",144.9743398250947,1091177,Commissioned in 1998 to commemorate the 75th anniversary of Legacy.,Owned,Bronze statue of a mother and two children located in the Legacy Garden of Appreciation.,Statue,1998,,-37.83028190715433,City of Melbourne,Arts & Culture Branch,"Laumen, Louis",Shrine of Remembrance Reserve,Sculpture,Widow and Children
"-37.78528747283689, 144.96619001850792","{""coordinates"": [144.96619001850792, -37.78528747283689], ""type"": ""Point""}",,Hardy Reserve,144.96619001850792,1086587,,Owned,"Shrine-like architectural structure surmounted by life size bust of Cr William Cook. The memorial to long serving Councillor Cook was unveiled by the Lord Mayor, Colonel Burston on 26 October 1910.<br><br>The design of this memorial drinking fountain is derived from wayside shrines, a Catholic tradition whereby the faithful erected shrines through the countryside of Europe. In this secularised form, the spring of water replaces the holy image. The drinking spout is located below a domed canopy, above which is the marble bust of the councillor. <br><br>",Drinking Fountain,1910,ERECTED IN THE MEMORY OF / COUNCILLOR WILLIAM COOK / BY HIS MANY FRIENDS IN / RECOGNITION / OF SERVICES RENDERED WHILST REPRESENTING / VICTORIA WARD / FOR 15 YEARS. / 26TH OCT. 1910.,-37.78528747283689,City of Melbourne,Parks Services Branch,"Richardson, Charles Douglas <br>",Hardy Reserve,Memorials,Councillor William Cook Memorial Drinking Fountain
"-37.8067376454504, 144.90868793767592","{""coordinates"": [144.90868793767592, -37.8067376454504], ""type"": ""Point""}",Footscray Road between Dock Link Road and Sims Street,"Footscray Road between Dock Link Road and Sims Street approximately 62m East of 717 Footscray Road, West Melbourne, 3003",144.90868793767592,1088151,,Owned,"This basalt obelisk was erected in 1941 to commemorate the first landing of Europeans in the Melbourne area. It is positioned at the original junction of the Yarra and Maribyrnong Rivers, the two waterways explored by Charles Grimes in 1803, when he arrived from Sydney. <br><br>While it is commonly believed that John Batman first extolled the virtues of site of Melbourne in 1835, some 32 years earlier Grimes made the claim that it was `the most eligible place for a village'. Claude Smith, a keen local historian and Footscray councillor, proposed the monument in 1937. He maintained that had the Maribyrnong been a freshwater rather than a saltwater stream, the site of Footscray would have been the state's capital.<br><br>The monumnet was unveiled 23 November 1941.<br><br>",Monument,1941,"THIS MONUMENT HAS BEEN ERECTED TO MARK THE ORIGINAL JUNCTION OF THE YARRA AND THE MARIBYRNONG RIVERS WHICH WAS NEAR THIS SPOT. ''''''''... These rivers were originally discovered by Charles Edmond Grimes/ in February 1808 and re-found by John Batman in 1836. / Port Phillip was discovered by John Murray in the Lady Nelson in February 1802. The first vessel in Hobson''''''''s Bay was the Cumberland/ with Grimes the surveyor. The first man o''''''''war was the Calcutta. / At the end of the same year 1903, the first vessel to ascend the Yarra was John P. Fawkner''''''''s Enterprise''''''''.<br>An inset brass plaque in the ground below reads: `Historical Note, 1995 / When this monument was erected in 1941, it was believed that the HMAS Calcutta / took on fresh water from the Yarra River in November 1803. The Calcutta log indicates that the / ship came only as far as Frankston, and took water from Kananook Creek''",-37.8067376454504,City of Melbourne,Arts & Culture Branch,Unknown,,Sculpture,Port Philip Monument
"-37.80725189160194, 144.95923056581196","{""coordinates"": [144.95923056581196, -37.80725189160194], ""type"": ""Point""}",Therry Street between Elizabeth Street and Queen Street,"Therry Street between Elizabeth Street and Queen Street approximately 16m North of Rear, 93 Therry Street, Melbourne, 3000",144.95923056581196,1088242,,Owned,"This large bronze sculpture ' featuring an array of vegetables, fish and an Aboriginal fishing net ' looks whimsically to the relationship between the land and city, tradition and lifestyle, production and consumption. <br><br>In 1994, the City of Melbourne commissioned Fraser to undertake Wind Contrivance through its Percent for Art Program. The work was sculpted in Fraser's studio at Lurg, 20 kilometres from Benalla, and cast at the Meridian Foundry in Fitzroy. Wind Contrivance is sited at Queen Victoria Market, a centre point between land and city, and a cipher through which the country harvest is distributed to city dwellers.<br><br>Unveiled 22 August 1996<br>",Sculpture,1995,WIND CONTRIVANCE / PAULINE FRASER / 1995,-37.80725189160194,City of Melbourne,Arts & Culture Branch,"FRASER, Pauline <br>",,Sculpture,Wind Contrivance
"-37.811023513897744, 144.9783891748421","{""coordinates"": [144.9783891748421, -37.811023513897744], ""type"": ""Point""}",,"Fitzroy Gardens approximately 55m SE of Maintenance Sheds, St Patricks Cathedral, 7 Lansdowne Street, East Melbourne, 3002",144.9783891748421,1088150,,Owned,"This work comprises approximately 10,000 standard terracotta bricks set in the three concentric circles surrounding a raised garden bed, with plantings of palms and ivy. The exposed face of each brick features a hand-etched drawing. The associated plaque advises that the `tiles' were made by the people of Victoria on the opening day of the Arts Victoria 78 Craft Festival. The path was opened by the Hon. R.J. Hamer, then premier and arts minister, on the 18 February 1979.<br><br>People's Path originates from a community art project, providing a metaphorical means by which the community can take ownership of a public space.<br>",Bricks / Tiles,1978-1979,,-37.811023513897744,City of Melbourne,Arts & Culture Branch,"Sprague, Ian et al.",Fitzroy Gardens,Sculpture,People''''''''s Path
"-37.81212180360231, 144.97970323398684","{""coordinates"": [144.97970323398684, -37.81212180360231], ""type"": ""Point""}",,Fitzroy Gardens,144.97970323398684,1088241,"It was erected in the Fitzroy Gardens around 1900, possibly under the curatorship of John Guilfoyle, who was, at the turn of the century, director of the Royal Botanic Gardens.",Owned,"Small bronze figure of a boy holding a tipped urn on his shoulder from which water flows into a bowl underneath. The figure is positioned atop a rockery.<br><br>During the night of March 18th 2016, the Boy and Urn statue was stolen from Fitzroy Gardens",Fountain,c1900,,-37.81212180360231,City of Melbourne,Arts & Culture Branch,unknown,Fitzroy Gardens,Sculpture,Boy and Urn
"-37.809326424568866, 144.95805722764143","{""coordinates"": [144.95805722764143, -37.809326424568866], ""type"": ""Point""}",,"Victoria Market Reserve approximately 22m West of Complex Training Academy, Gnd & Mezz, 400 Queen Street, Melbourne, 3000",144.95805722764143,1091859,<br>,Owned,"Island Wave is a large work that comprises a repeated motif and is sited on the Franklin and Queen Streets roundabout. Young's motif is a French curve, to which she was drawn for its sensuality and its past use as a mechanical drawing aid for the technical works executed by engineers and architects. The repetition of this motif along the curve of the roundabout creates a sense of movement, particularly for the motorist travelling alongside it. It is scaled to give the sensation of both moving in rhythm to and being engulfed by a wave. Unlike a solid monolithic sculpture, there is a `lightness' about Island Wave, which is achieved by its thinness, its open form and the sense of movement it evokes. Island Wave engages both the motorist and pedestrian, and its prominent location near Queen Victoria Market ensures that it has a local and international audience.",Sculpture,2003,,-37.809326424568866,City of Melbourne,Arts & Culture Branch,"ALI, Zoe",Victoria Market Reserve,Sculpture,Island Wave
"-37.82024605773942, 144.96066253110223","{""coordinates"": [144.96066253110223, -37.82024605773942], ""type"": ""Point""}",,"Enterprize Park approximately 54m South of Customs Square, 401 Flinders Street, Melbourne, 3000",144.96066253110223,1088260,,Owned,"During the 19th century, the Yarra River near the corner of Queen and Flinders Streets was the focus of Melbourne's shipping activity. Natural falls in the river created a barrier between the salt and freshwater, and just below the falls a natural widening in the river enabled boats to turn around after unloading at Customs House (now the Immigration Museum). <br><br>In 1996, the Yarra Turning Basin Project was launched. This would recreate the historic turning basin, which had since been filled in, and develop a new riverside promenade that would complement and extend the existing spatial design of the river's northern bank. The concept for the site's public artwork entailed a series of five figureheads, which would sit on wooden piers that were integral to the design and material of the timber wharf.<br><br>Council's Public Art & Acquisitions Committee selected Bruce Armstrong and Geoffrey Bartlett's design from a short-list of four. Both Armstrong and Bartlett are renowned Melbourne sculptors, each having undertaken many public commissions and having exhibited widely. With the working title `5 figureheads', they crafted Constellation from wood and metal, and using traditional and contemporary approaches to the sculpture's design. The five carved-wood figureheads represent a dragon, woman, bird, man and lion. These evoke a long history of figurehead carving from around the world and also reflect the ethnic and cultural diversity of those who used the turning basin during the early years of settlement. The constructed metal elements suggest maritime forms, lines and images, but they are never simply literal; they require the viewer to engage with the work to read their reference point. The title of this work, too, pays homage to the long history of seafaring, the stars having guided many a vessel from one port to another. <br><br>Constellation was unveiled in 1997.",Sculpture,1996,BRUCE ARMSTRONG AND GEOFFREY BARTLETT / CONSTELLATION / 1997,-37.82024605773942,City of Melbourne,Arts & Culture Branch,"BARTLETT, Geoffrey; Armstrong, Bruce",Enterprize Park,Sculpture,Constellation
"-37.81031620582498, 144.9549375102993","{""coordinates"": [144.9549375102993, -37.81031620582498], ""type"": ""Point""}",,"Flagstaff Gardens approximately 46m South of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",144.9549375102993,1091427,,Owned,"Originally constructed primarily from sandstone in the 1800s, this circular bronze sundial sits on a light cement-rendered sandstone plinth and bluestone hexagonal base (reconstructed in 1947). It is located directly opposite The Court Favorite, c1930.<br><br>",Sundial,,,-37.81031620582498,City of Melbourne,,Unknown,Flagstaff Gardens,Horology,Sundial
