asset_number,title_of_plaque,description_of_plaque,tree_common_name,tree_scientific_name,date_of_tree_planted,lon,lat,location
1498908,SIGNAL 8TH DIVISION AND 6 LINE SECTION,SIGNAL 8TH DIVISION AND 6 LINE SECTION,Snow-in-Summer,Melaleuca linariifolia,1998-07-09,-37.82942379805941,144.97231850732152,"-37.82942379805941, 144.97231850732152"
1498930,UNITED STATES MARINE CORPS,UNITED STATES MARINE CORPS,Long-leaved Indian Pine,Pinus roxburghii,2000-01-02,-37.83086972020156,144.97472607803533,"-37.83086972020156, 144.97472607803533"
1498931,CZECHOSLOVAK ARMY AND AIR FORCE,VERITAS VINCIT TO THE MEMORY OF ALL MEMBERS OF THE CZECHOSLOVAK ARMY AND AIR FORCE WHO FOOUGHT AS ALLIES AND MANY DIED IN BATTLE FOR THE LIBERATION OF EUROPE 1940 - 1945 LEST WE FORGET,Lilly Pilly,Syzygium smithii,2000-01-02,-37.83098397331299,144.9747565854144,"-37.83098397331299, 144.9747565854144"
1498956,ROYAL AUSTRALIAN NAVY PERSONNEL WHO SERVED IN THE CORVETTES ON OPERATION WW2,ROYAL AUSTRALIAN NAVY DEDICATED TO ALL THOSE ROYAL AUSTRALIAN NAVY PERSONNEL WHO SERVED IN THE CORVETTES ON OPERATION WW2 ROYAL AUSTRALIAN NAVY CORVETTES ASSOCIATION,Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.83177579247031,144.9742669241611,"-37.83177579247031, 144.9742669241611"
1499002,THE ROYAL AUSTRALIAN AIR FORCE,"COMMEMORATING MEMBERS OF THE ROYAL AUSTRALIAN AIR FORCE WHO SERVED DURING THE SECOND WORLD WAR IN: CATALINA FLYING BOAT SQUADRONS 11, 20, 42 & 43 AIR-SEA RESCUE FLIGHTS 111, 112, 113, 114 & 115 SEAPLANE TRAINING FLIGHTS, OPERATIONAL TRAINING UNITS FLYING BOAT REPAIR DEPOTS, REPAIR AND MAINTENANCE UNITS AND OPERATIONAL BASE UNITS. RAAF FLYING BOATS FLEW ON PATROL, ESCORT, RESCUE, BOMBING, MINE LAYING AND COMBINED OPERATIONS IN THE PACIFIC OCEAN AND SOUTH CHINA SEA. LEST WE FORGET",Spotted Gum,Corymbia maculata,1998-07-09,-37.83211188501216,144.9730652646708,"-37.83211188501216, 144.9730652646708"
1499129,5TH BATTALION,5TH BATTALION,Brush Box,Lophostemon confertus,2000-01-02,-37.8283026024875,144.9729492096157,"-37.8283026024875, 144.9729492096157"
1499119,13TH FIELD ARTILLERY BRIGADE,13TH FIELD ARTILLERY BRIGADE,English Elm,Ulmus procera,1998-07-09,-37.82766730640713,144.9724015856788,"-37.82766730640713, 144.9724015856788"
1499038,BRITISH EXPEDITIONARY FORCE,THIS OAK TREE COMMEMORATES THE BRITISH EXPEDITIONARY FORCE. FRANCE SEPT. 1939 - JUNE 1940 BATTLE OF BELGIUM AND FLANDERS DUNKIRK EVACUATION MAY 26 - JUNE 4 OUR COMRADES OF THE ROYAL NAVY THE ROYAL AIR FORCE THE LITTLE SHIPS LEST WE FORGET,English Oak,Quercus robur,2000-01-01,-37.83157098815953,144.97229005821663,"-37.83157098815953, 144.97229005821663"
1499009,A.H.S. CENTAUR,A.H.S. CENTAUR 1943 2/12 FIELD AMBULANCE AUSTRALUAN ARMY SERVICE CORPS AUSTRALIAN MEDICAL CORPS AUSTRALIAN ARMY NURSING SERVICE SUNK MAY 14TH 1943 LOSS OF LIFE 11 NURSES 179 FIELD AMBULANCE 33 ARMY MEDICAL CORPS 45 MERCHANT NAVY CREW LEST WE FORGET,English Oak,Quercus robur,2010-08-30,-37.83253227289905,144.97335781392678,"-37.83253227289905, 144.97335781392678"
1499053,Commando Squadrons,Symbol Only,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830381810546434,144.9721913852598,"-37.830381810546434, 144.9721913852598"
1499169,24TH AUSTRALIAN INFANTRY BATTALION,24TH AUSTRALIAN INFANTRY BATTALION (A.I.F.)  1939-1945  SOUTH WEST PACIFIC  1943-1945  LAE - NADZAB  LAE ROAD  FINISTERRES  BOBDUBI I  BOBDUBI II  ORGORATA RIVER  HONGORAI RIVER  HARI RIVER  MIVO RIVER   EGANS RIDGE - HONGORAI FORD IN MEMORY OF THE FALLEN  I HOLD FAST,Snow-in-Summer,Melaleuca linariifolia,1998-07-09,-37.82866931446685,144.97187787708356,"-37.82866931446685, 144.97187787708356"
1499149,2/4TH AUSTRALIAN ARMOURED REGIMENTAL GROUP,"DEDICATED TO THE MEN OF THE 2/4TH AUSTRALIAN ARMOURED REGIMENTAL GROUP  THIS TANK REGIMENT SERVED IN THE TROPICAL SOUTH WEST PACIFIC CAMPAIGNS AT AITAPE TO WEWAK IN NEW GUINEA AND ON BOUGAINVILLE, SUPPORTING 6TH AND 3RD AUSTRALIAN INFANTRY DIVISIONS. LEST WE FORGET",English Elm,Ulmus procera,1998-07-09,-37.82779704493902,144.9719341414076,"-37.82779704493902, 144.9719341414076"
1498903,HEADQUARTERS 1ST AUSTRALIAN CORPS,HEADQUARTERS 1ST AUSTRALIAN CORPS 1939 - 45,English Elm,Ulmus procera,1998-07-09,-37.82963326901276,144.97213234649556,"-37.82963326901276, 144.97213234649556"
1499134,MALTA,CAROB BEAN REPRESENTING MALTA 1963,Carob or St Johns Bread,Ceratonia siliqua,2010-10-20,-37.82809570801014,144.9730233822153,"-37.82809570801014, 144.9730233822153"
1499058,ODD BODS U.K. ASSOCIATION R.A.A.F.,ODD BODS U.K. ASSOCIATION R.A.A.F. IN MEMORY OF FALLEN COMRADES,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830144948594985,144.97410531120755,"-37.830144948594985, 144.97410531120755"
1734465,1ST INFANTRY BATTALIONS,IN MEMORY OF MEMBERS OF THE ASSOCIATION OF 1ST INFANTRY BATTALIONS (VICT) 1ST INFANTRY BATTALION 2/1ST INFANTRY BATTALION 65TH INFANTRY BATTALION 1ST INFANTRY BATTALION ROYAL AUSTRALIAN REGIMENT SUDAN TO SOMALIA,Manchurian Pear,Pyrus ussuriensis,2011-10-06,-37.831951823364754,144.97300169941633,"-37.831951823364754, 144.97300169941633"
1498959,ALLIED CHINESE SHIPS 'PING WO' 'PO YANG' 'WHANGPU' 'YUNNAN',ALLIED CHINESE SHIPS 'PING WO' 'PO YANG' 'WHANGPU' 'YUNNAN' SERVED AUSTRALIA. NEW GUINEA AND SOUTH WEST PACIFIC 1942 1945,Indian Bean Tree,Catalpa bignonoides,1998-04-09,-37.83145953074976,144.97428034678956,"-37.83145953074976, 144.97428034678956"
1498937,H.M.A.S. PATRICIA CAM,H.M.A.S. PATRICIA CAM LOST IN ACTION JANUARY 22ND 1943,Midland Hawthorn,Crataegus laevigata,1998-02-09,-37.83229818732497,144.97456452921202,"-37.83229818732497, 144.97456452921202"
1499168,2/21 BATTALION,2/21 BATTALION,Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,"-37.828639346974704, 144.97210002350786"
1499161,2/10TH FIELD COY RAE,DEDICATED TO 2/10TH FIELD COY RAE MALAYA-SINGAPORE 1939-1945,Scarlet Oak,Quercus coccinea,2010-08-30,-37.82826293987767,144.97195433369384,"-37.82826293987767, 144.97195433369384"
1498967,H.M.A. SUBMARINE,THIS GOLDEN CYPRESS TREE IS DEDICATED TO H.M.A. SUBMARINE LOST DURING HOSTILITIES IN WORLD WAR I. A.E. 1 DISAPPEARED OFF RABAUL 14. 9. 14 KILLED 32 A.E. 2. ENEMY ACTION 30 .4 15 - SEA OF MARMORA S2 PERSONNEL TAKEN PRISONER OF WAR LEST WE FORGET,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.83119464882748,144.97435212852844,"-37.83119464882748, 144.97435212852844"
1498915,MERCANTILE MARINE,MERCANTILE MARINE,Spotted Gum,Corymbia maculata,1998-07-09,-37.82925813900428,144.97218636013093,"-37.82925813900428, 144.97218636013093"
1498947,ROYAL MARINES,ROYAL MARINES,tba,Quercus petraea,1998-04-09,-37.831422778159975,144.97498841735108,"-37.831422778159975, 144.97498841735108"
1498932,ROYAL AUSTRALIAN NAVY MEDICAL SERVICES,ROYAL AUSTRALIAN NAVY MEDICAL SERVICES,Bhutan Cypress,Cupressus torulosa,1998-03-09,-37.83157187691977,144.9754573470279,"-37.83157187691977, 144.9754573470279"
1499179,ANZAC BATTLEFIELD,ANZAC BATTLEFIELD ARIBURNU SAVAS ALANI 25.4.1915 - 20.12.1915,,,,-37.82959876771948,144.97396516159287,"-37.82959876771948, 144.97396516159287"
1498906,PRISONERS OF WAR ALL THE THEATRES,"PRISONERS OF WAR ALL THE THEATRES ""LEST WE FORET""",,,,-37.82925090229858,144.97180809700131,"-37.82925090229858, 144.97180809700131"
1499073,22ND SQUADRON,22ND SQUADRON IN MEMORY OF FALLEN COMRADES,Brazilian Pepper Tree,Schinus terebinthifolius,2000-01-02,-37.82940300442586,144.97404732247998,"-37.82940300442586, 144.97404732247998"
1499066,SHRINE GUARD,SHRINE GUARD 1935,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.82988367239808,144.97374774119078,"-37.82988367239808, 144.97374774119078"
1734473,8TH AIF Battalion 'City of Ballarat Regiment',"8TH AIF Battalion 1939-1945 'City of Ballarat Regiment' Dedicated to those who bravely served in Darwin, New Guinea, Emirau, Bougainville, Solomon Islands LEST WE FORGET",English Elm,Ulmus procera,1998-07-09,-37.82891758654078,144.97314416193322,"-37.82891758654078, 144.97314416193322"
1498971,H.M.A.S. VOYAGER,H.M.A.S. VOYAGER LOST IN ACTION SEPTEMBER 24TH 1942,tba,Cupressus sempervirens Stricta,2000-01-02,-37.83127737809137,144.97442553742977,"-37.83127737809137, 144.97442553742977"
1499148,2/5TH AUSTRALIAN INFANTRY BATTALION 2ND A.I.F.,"THIS ENGLISH ELM IS DEDICATED TO THE MEMBERS OF THE 2/5TH AUSTRALIAN INFANTRY BATTALION 2ND A.I.F.  1939-1945  ""LEST WE FORGET""",English Elm,Ulmus procera,1998-07-09,-37.82763738438965,144.9718572779033,"-37.82763738438965, 144.9718572779033"
1498910,2/2 AUSTRALIAN FIELD REGIMENT,2/2 AUSTRALIAN FIELD REGIMENT,Pin Oak,Quercus palustris,1998-07-09,-37.82909399096776,144.97208439444657,"-37.82909399096776, 144.97208439444657"
1734469,Australian Naval & Military Expedition Force,"Commemorating The Australian Naval & Military Expedition Force BITA PAKA BATTLE 11th September, 1914 LEST WE FORGET Rededicated on the centenary",Monkey Puzzle Tree,Araucaria araucana,2012-07-03,-37.8315861575777,144.97452196491938,"-37.8315861575777, 144.97452196491938"
1499157,2/7TH AUSTRALIAN INFANTRY BATTALION AIF,2/7TH AUSTRALIAN INFANTRY BATTALION AIF. THIS QUEENSLAND KAURI IS DEDICATED TO THE MEMORY OF OUR FALLEN COMRADES AND TO THOSE WHO SERVED 1939-1945  LEST WE FORGET,Queensland Kauri,Agathis robusta,1998-07-09,-37.827848669210404,144.97184444847898,"-37.827848669210404, 144.97184444847898"
1499011,"No 2 SQUADRON, ROYAL AUSTRALIAN AIR FORCE","No 2 SQUADRON, ROYAL AUSTRALIAN AIR FORCE DEDICATED TO THE MEMORY OF ALL SQUADRON MEMBERS WHO PAID THE SUPREME SACRIFICE. "" LEST WE FORGET""",English Elm,Ulmus procera,1998-07-09,-37.83262443026546,144.97294238558305,"-37.83262443026546, 144.97294238558305"
1499018,AUSTRALIAN AND COMMONWEALTH SERVICE PERSONNEL,"MALAYAN EMERGENCY 1948 - 1960 BORNEO INDONESIAN CONFRONTATION SARAWAK AND NORTH BORNEO 1963 - 1966 DEDICATED TO ALL AUSTRALIAN AND COMMONWEALTH SERVICE PERSONNEL WHO SERVED IN THE ABOVE CONFLICTS, IN PARTICULAR THOSE WHO PAID THE SUPREME SACRIFICE LEST WE FORGET",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83114558134214,144.97301967541586,"-37.83114558134214, 144.97301967541586"
1498925,NONE,R.F. OAK TREES FROM THE BATTLE FIELD PRESENTED BY FRANCE.,English Oak,Quercus robur,1998-04-09,-37.830700085530246,144.97457221661702,"-37.830700085530246, 144.97457221661702"
1498916,Gurkha Soldiers,Dedicated in Memory of the valiant Gurkha Soldiers who sacrificed their lives in the line of duty protecting World Peace. Lest We Forget,Flame Tree,Brachychiton acerifolius,2011-09-06,-37.830984409455574,144.97505437314175,"-37.830984409455574, 144.97505437314175"
1499088,3RD DIVISION TRAIN ARMY SERVICE CORPS,3RD DIVISION TRAIN ARMY SERVICE CORPS,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82890224818144,144.97300176460385,"-37.82890224818144, 144.97300176460385"
1498972,THE ROYAL NAVY AND OTHER COMPANIONS IN ARMS,IN MEMORY OF LOSSES SUFFERED AT SEA BY THE ROYAL NAVY AND OTHER COMPANIONS IN ARMS,Algerian Oak,Quercus canariensis,1998-04-09,-37.83136778456941,144.97456804546223,"-37.83136778456941, 144.97456804546223"
1498933,H.M.A.S. ARUNTA,H.M.A.S. ARUNTA,Algerian Oak,Quercus canariensis,1998-03-09,-37.831323727881426,144.9756270632182,"-37.831323727881426, 144.9756270632182"
1498940,HMAS WATERHEN,HMAS WATERHEN LOST IN ACTION 29. 6. 41,tba,Populus x Loch Valley,2000-01-02,-37.83220416522405,144.97485092961963,"-37.83220416522405, 144.97485092961963"
1499031,ROYAL AUSTRALIAN AIR FORCE VIETNAM,ROYAL AUSTRALIAN AIR FORCE VIETNAM DEDICATED TO ALL THOSE ROYAL AUSTRALIAN AIR FORCE PERSONNEL WHO LOST THEIR LIVES ON OPERATION AND IN HONOUR OF ALL WHO SERVED IN VIETNAM ROYAL AUSTRALIAN AIR FORCE VIETNAM VETERANS ASSOCIATION (VIC),Pin Oak,Quercus palustris,1998-07-09,-37.83101923912228,144.97232902477566,"-37.83101923912228, 144.97232902477566"
1498986,H.M.A.S. KUTTABUL,H.M.A.S. KUTTABUL,Golden Poplar,Populus x canadensis Aurea,2010-10-21,-37.83102610678251,144.9742408452016,"-37.83102610678251, 144.9742408452016"
1498939,HMAS BATAAN,"HMAS BATAAN THIS GOLDEN CYPRESS IS DEDICATED TO HMAS BATAAN ""TRIBAL CLASS DESTROYER"" COMMISSIONED 15TH JUNE 1945 AND THOSE WHO SERVED ABOARD IN 1945, B.C.O.F., KOREAN, AND FAR EAST STATIONS. DECOMMISSIONED 18TH OCTOBER 1954.",UNKNOWN,UNKNOWN UNKNOWN,2015-04-24,-37.832166914661386,144.9745661878156,"-37.832166914661386, 144.9745661878156"
1499124,7TH BATTALION.,7TH BATTALION.,Moreton Bay Fig,Ficus macrophylla,1998-07-09,-37.82760125275574,144.97254825343148,"-37.82760125275574, 144.97254825343148"
1499115,HEADQUARTERS 4TH BRIGADE,HEADQUARTERS 4TH BRIGADE,English Elm,Ulmus procera,1998-07-09,-37.82704988109227,144.97212252083713,"-37.82704988109227, 144.97212252083713"
1498909,2/12 FIELD ARTILLERY REGIMENT,2/12 FIELD ARTILLERY REGIMENT,Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.829141569078274,144.97224636047963,"-37.829141569078274, 144.97224636047963"
1499178,LEGACY GARDEN OF APPRECIATION,A Living tribute to the generous support of Victorians for the work of Legacy The sculpture symbolises the work of Legacy caring for the widows and children of veterans The Flanders Poppies which bloom around November have their origin on the World War I battlefields of Belgium and France,,,,-37.830291746410595,144.9742988801904,"-37.830291746410595, 144.9742988801904"
1499082,AIRBORNE FORCES,AIRBORNE FORCES Dedicated to the Memory of all those who gave their lives whilst serving in the British Commonwealth & Allied Airborne Forces.,,,,-37.83028476987695,144.97211382679464,"-37.83028476987695, 144.97211382679464"
1499065,R.A.A.F. MALAYA,R.A.A.F. MALAYA,Smooth-barked Apple Myrtle,Angophora costata,1998-02-09,-37.82988838867988,144.974126531272,"-37.82988838867988, 144.974126531272"
1499175,2/7TH AUSTRALIAN FIELD REGIMENT,2/7TH AUSTRALIAN FIELD REGIMENT  1940-1945  IN HONOUR OF THE MEN WHO - EQUIPPED WITH 25 PDR. FIELD GUNS - SERVED THE REGIMENT IN EGYPT SYRIA PALESTINE AT EL ALAMEIN ANDON MORATAI AND TARAKAN  GUNNERS REMEMBERED WITH PRIDE,English Elm,Ulmus procera,1998-07-09,-37.828890611123,144.97175047419984,"-37.828890611123, 144.97175047419984"
1499158,Australia Indigenous service men and women,"In blessed memory of Australia Indigenous service men and women who served, fought and died in the defence of Australia.",Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,-37.827959221713186,144.97177518329275,"-37.827959221713186, 144.97177518329275"
1499114,AUSTRALIAN LIGHT HORSE ENGINEERS.,AUSTRALIAN LIGHT HORSE ENGINEERS.,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82748940139395,144.97216013781946,"-37.82748940139395, 144.97216013781946"
1498989,WOMEN'S ROYAL AUSTRALIAN ARMY CORPS,WOMEN'S ROYAL AUSTRALIAN ARMY CORPS 1951 - 1984 The WRAAC was successor to the Australian Women's Army Service that provided support to the Australian Army throughout WWII. The WRAAO provided specialised training administrative technical and trade sk to all Corps of the Australian Army and ceased to operate when women were enlisted direct into Army units SOLDIERS OF THE QUEEN - THEY PROUDLY SERVED AUSTRALIA,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83120921983537,144.97329800931013,"-37.83120921983537, 144.97329800931013"
1499060,ROYAL AIR FORCE,IN MEMORY OF THE AUSTRALIANS WHO SERVED IN THE ROYAL AIR FORCE,Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,-37.830062567393824,144.9742092537742,"-37.830062567393824, 144.9742092537742"
1498946,HMAS QUIBERON,"IN MEMORY OF ""HMAS QUIBERON"" AND ALL WHO SAILED IN HER. Q CLASS DESTROYER 1942 - 1950 Q CLASS FRIGATE 1957 - 1964",Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.83119128881961,144.97522551096523,"-37.83119128881961, 144.97522551096523"
1499128,31ST BATTALION,31ST BATTALION,Queensland Lacebark,Brachychiton discolor,2010-08-30,-37.82827169114593,144.9730224292286,"-37.82827169114593, 144.9730224292286"
1498983,NAVAL ASSOCIATION OF AUSTRALIA,1914 1918 NAVAL ASSOCIATION OF AUSTRALIA,English Elm,Ulmus procera,2000-01-02,-37.83101428486166,144.97447034142832,"-37.83101428486166, 144.97447034142832"
1499135,SINGAPORE,PODOCARPUS ELATUS REPRESENTING SINGAPORE 21-3-1967,Outeniqua Yellowood,Afrocarpus falcatus,2010-10-20,-37.82804791550389,144.97294311374992,"-37.82804791550389, 144.97294311374992"
1498979,AUSTRALIAN AND AMERICAN SACRIFICES IN THE DEFENCE OF THE PACIFIC,IN REMEMBRANCE OF AUSTRALIAN AND AMERICAN SACRIFICES IN THE DEFENCE OF THE PACIFIC,English Elm,Ulmus procera,1998-04-09,-37.83143075962261,144.97444133977382,"-37.83143075962261, 144.97444133977382"
1498996,22 REPAIR AND SERVICING UNIT RAAF,THIS SILVER POPLAR IS DEDICATED TO 22 REPAIR AND SERVICING UNIT RAAF 1943-45 THIS UNIT SERVICED AIRCRAFT AND TRANSPORT IN SOUTH WEST PACIFIC AREA. PAPUA NEW GUINEA CAPE GLOUCESTER NOEMFOOR. MOROTAI AND LABUAN LEST WE FORGET,White Poplar,Populus alba,1998-07-09,-37.83169310139106,144.97304911627035,"-37.83169310139106, 144.97304911627035"
1734476,RAN BRIDGING TRAIN,1ST ROYAL AUSTRALIAN NAVAL BRIDGING TRAIN 1915 - 1917,Spotted Gum,Corymbia maculata,1998-07-09,-37.82796510980705,144.97267690538854,"-37.82796510980705, 144.97267690538854"
1499054,DARWIN DEFENDERS,DARWIN DEFENDERS 1942 - 1945 IN MEMORY OF ALL VETERANS WHO SERVED DEFENDING DARWIN LEST WE FORGET,Brush Box,Lophostemon confertus,2010-08-30,-37.83021804438931,144.9718500116087,"-37.83021804438931, 144.9718500116087"
1498907,2/8th ARMOURED REGIMENT A.I.F,2/8th ARMOURED REGIMENT A.I.F,Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,"-37.828639346974704, 144.97210002350786"
1734464,1ST COMMANDO REGIMENT,1ST COMMANDO REGIMENT Solomon Islands Timor Iraq Afghanistan Dedicated to all members who served on operations Lest We Forget,Stone Pine,Pinus pinea,2010-08-30,-37.83047867928209,144.97234791439254,"-37.83047867928209, 144.97234791439254"
1499100,58TH BATTALION,58TH BATTALION,Golden Poplar,Populus x canadensis,1998-07-09,-37.828517978361376,144.97300125995406,"-37.828517978361376, 144.97300125995406"
1499132,SYRIA R.A.A.F.,SYRIA R.A.A.F.,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82805567514444,144.97311116682584,"-37.82805567514444, 144.97311116682584"
1498924,NO. 21 (CITY OF MELBOURNE) SQUADRON,NO. 21 (CITY OF MELBOURNE) SQUADRON 1936 - 1986,Ironbark,Eucalyptus sideroxylon,2014-06-04,-37.83076173802408,144.97441577976116,"-37.83076173802408, 144.97441577976116"
1499182,EX-SERVICEWOMEN'S ASSOCIATIONS (VICTORIA),THIS MEMORIAL WAS DESIGNED & ERECTED BY THE COUNCIL OF EX-SERVICEWOMEN'S ASSOCIATIONS (VICTORIA),,,,-37.82868357226139,144.97319249039356,"-37.82868357226139, 144.97319249039356"
1499086,THE MELBOURNE BRANCH OF THE ASSOCIATION OF WRENS,"THIS SEAT WAS PRESENTED BY THE MELBOURNE BRANCH OF THE ASSOCIATION OF WRENS TO COMMEMORATE THE DIAMOND JUBILEE OF THE ASSOCIATION OF WRENS IN THE UK, 1ST NOVEMBER, 1980.",,,,-37.83004200353358,144.97203594113589,"-37.83004200353358, 144.97203594113589"
1498997,WOMEN'S AUXILIARY AUSTRALIA AIR FORCE,THIS ENGLISH ELM WAS DEDICATED ON MARCH 18TH 1991 TO COMMEMORATE THE FORMATION ON THE WOMEN'S AUXILIARY AUSTRALIA AIR FORCE IN W.W.2 1941,Dutch Elm,Ulmus x hollandica,1998-07-09,-37.831960245330066,144.97371081164684,"-37.831960245330066, 144.97371081164684"
1499111,1ST DIVISON SIGNAL COMPANY,1ST DIVISON SIGNAL COMPANY,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82769054106862,144.97224893209227,"-37.82769054106862, 144.97224893209227"
1499036,AUSTRALIA'S NATIONAL SERVICEMEN,DEDICATED TO AUSTRALIA'S NATIONAL SERVICEMEN 1951 - 1972 SERVICE TO THE NATION,Bogong Gum,Eucalyptus chapmaniana,1998-07-09,-37.83188577231149,144.972311208573,"-37.83188577231149, 144.972311208573"
1498934,WAR WIDOWS' GUILD,"THIS TREE COMMEMORATES THE FIFTIETH ANNIVERSARY OF THE WAR WIDOWS' GUILD THE WORK OF ITS FOUNDER JESSIE MARY VASEY, O.B.E.. C.B.E., AND ALL WAS WIDOWS WHOSE HUSBANDS GAVE THEIR LIVES IN THE SERVICE OF THIS COUNTRY 18. 10. 1995 FROM THEIR SACRIFICE CA OUR STRENGTH",Variegated Brush Box,Lophostemon confertus Variegatus,1998-03-09,-37.83196543631162,144.97541636494722,"-37.83196543631162, 144.97541636494722"
1499052,Commando Squadrons,Symbol Only,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.83059593609015,144.9720975807512,"-37.83059593609015, 144.9720975807512"
1498918,NETHERLAND'S SERVICE PERSONNEL,IN REMEMBRANCE OF NETHERLAND'S SERVICE PERSONNEL WHO FELL IN ACTION,Flame Tree,Brachychiton acerifolius,2017-04-11,-37.83046902995829,144.9745044552407,"-37.83046902995829, 144.9745044552407"
1499083,Garden of Remembrance,Garden of Remembrance The Garden of Remembrance was opened in 1985 as a memorial to the men and women who served in the post World War II conflicts named on the walls of the monument.,,,,-37.83079014901423,144.9725272014481,"-37.83079014901423, 144.9725272014481"
1498961,H.M.A.S. YARRA,THIS CYPRESS IS DEDICATED TO H.M.A.S. YARRA. SUNK BY ENEMY ACTION NEAR JAVA 4. 3. 1942 138 KILLED 34 SURVIVED IN TWO FLOATS ONLY 13 SURVIVORS WERE PICKED UP AND TAKEN TO COLOMBO TO THESE GREAT MEN LOST AND SURVIVORS FIFTY YEARS ON 4. 3. 1992 LEST WE FORGET,Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.831160897106216,144.9739879877765,"-37.831160897106216, 144.9739879877765"
1499133,R.A.A.F. NORTH AFRICA,R.A.A.F. NORTH AFRICA,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82812179036519,144.97317741370765,"-37.82812179036519, 144.97317741370765"
1499048,ROYAL CORPS OF AUSTRALIAN ELECTRICAL AND MECHANICAL ENGINEERS,ROYAL CORPS OF AUSTRALIAN ELECTRICAL AND MECHANICAL ENGINEERS 29 NOV 64.,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8307037938507,144.97204974755397,"-37.8307037938507, 144.97204974755397"
1499166,THE RATS OF TOBRUK ASSOCIATION,"IN MEMORY OF ALL WHO SERVED IN THE SIEGE OF TOBURK, THE FIRST DEFEAT OF GERMAN LAND FORCES IN WWII  ARMY NAZY  AIR FORCE  APRIL-DECEMBER 1941  KNOWN AS THE ""RATS OF TOBRUK"" WHOSE MOTTO WAS ""NO SURRENDER""",tba,Ficus carica,2012-10-04,-37.82850285713582,144.9720342269703,"-37.82850285713582, 144.9720342269703"
1499143,14/32 AUST INF BN (AIF),THIS BHUTAN CYPRESS IS DEDICATED TO THE MEN OF 14/32 AUST INF BN (AIF) WHO SERVED WITH DISTINCTION IN AUSTRALIA NEW GUINEA AND NEW BRITAIN 1940-45 AND TO MEMBERS WHO MADE THE SUPREME SACRIFICE  LEST WE FORGET,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82816397936787,144.97224142472442,"-37.82816397936787, 144.97224142472442"
1499068,IAN PERDRIAU AM,"THIS ARAUCARIA CUNNINGHAMII, HOOP PINE WAS PLANTED ON 25 NOVEMBER 1995 TO COMMEMORATE IAN PERDRIAU AM BEING THE FIRST AUSTRALIAN TO SERVE AS PRESIDENT OF KIWANIS INTERNATIONAL 1994 - 1995 PRESENTED BY AUSTRALIAN DISTRICT KIWANIS INTERNATIONAL A WORLD WIDE COMMUNITY SERVICE ORGANISATION",,,,-37.827019870860255,144.9735146655711,"-37.827019870860255, 144.9735146655711"
1499125,2ND DIVISION AUST. MECH TRANSPORT COMPANY,2ND DIVISION AUST. MECH TRANSPORT COMPANY,Queensland Kauri,Agathis robusta,1998-07-09,-37.827825309473916,144.97259154341393,"-37.827825309473916, 144.97259154341393"
1499156,2/23RD AUSTRALIAN INFANTRY BATTALION,2/23RD AUSTRALIAN INFANTRY BATTALION,Ironbark,Eucalyptus sideroxylon,2005-08-16,-37.82894543479477,144.97202960799083,"-37.82894543479477, 144.97202960799083"
1499032,H.M.A.S. PERTH,H.M.A.S. PERTH,Lilly Pilly,Syzygium smithii,2000-01-02,-37.83084582148334,144.971992343412,"-37.83084582148334, 144.971992343412"
1498990,467 & 463 RAAF LANCASTER SQUADRONS,467 & 463 RAAF LANCASTER SQUADRONS 5 GROUPS - BOMBER COMMAND U.K. THIS TREE IS DEDICATED ON 25. 11. 93 WHO SERVED WITH THESE TWO SQUADRONS 1942 - 1945,Bhutan Cypress,Cupressus torulosa,1998-08-09,-37.831295745811026,144.97353435938422,"-37.831295745811026, 144.97353435938422"
1499017,461 SQUADRON RAAF COASTAL COMMAND THE ANZAC SQUADRON,461 SQUADRON RAAF COASTAL COMMAND THE ANZAC SQUADRON 25 APRIL 1942 ~ 5 JUNE 1945 ATLANTIC BAY OF BISCAY SHETLAND ISLANDS THEY SHALL NOT PASS UNSEEN,Hedge Maple,Acer campestre,2010-08-30,-37.83226442686982,144.97265023054786,"-37.83226442686982, 144.97265023054786"
